method,seed,update,true_environment_steps_before_update,beta,barrier_active,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,total_gradient_norm,naturalized_reward_norm,naturalized_barrier_norm,euclidean_barrier_to_reward_ratio,natural_barrier_to_reward_ratio,euclidean_cosine,euclidean_cosine_defined,natural_cosine,natural_cosine_defined,realized_kl,damping
gpomdp_reward_only,716,0,0,0.0,False,382.2093505859375,0.13771100342273712,0.0,382.2093505859375,3659.59375,0.0,0.0,0.0,0.7028980851173401,True,nan,False,7.682435534661636e-05,0.01
gpomdp_reward_only,716,1,4000,0.0,False,216.2139434814453,0.13245870172977448,0.0,216.2139434814453,3041.750244140625,0.0,0.0,0.0,-0.22536517679691315,True,nan,False,5.2069306548219174e-05,0.01
gpomdp_reward_only,716,2,8000,0.0,False,279.74322509765625,0.1308298259973526,0.0,279.74322509765625,5298.88916015625,0.0,0.0,0.0,0.7194535732269287,True,nan,False,3.784982982324436e-05,0.01
gpomdp_reward_only,716,3,11949,0.0,False,206.62522888183594,0.12411623448133469,0.0,206.62522888183594,4015.524169921875,0.0,0.0,0.0,-0.5957391858100891,True,nan,False,8.711447662790306e-06,0.01
gpomdp_reward_only,716,4,15949,0.0,False,494.2597961425781,0.1237969622015953,0.0,494.2597961425781,5325.58837890625,0.0,0.0,0.0,0.5667057633399963,True,nan,False,2.4656736059114337e-05,0.01
gpomdp_reward_only,716,5,19883,0.0,False,325.2011413574219,0.12042209506034851,0.0,325.2011413574219,4598.845703125,0.0,0.0,0.0,0.5133968591690063,True,nan,False,2.1617504899040796e-05,0.01
gpomdp_reward_only,716,6,23883,0.0,False,339.3312683105469,0.11440405249595642,0.0,339.3312683105469,5489.7216796875,0.0,0.0,0.0,0.5640249848365784,True,nan,False,2.5755509341252036e-05,0.01
gpomdp_reward_only,716,7,27883,0.0,False,237.50357055664062,0.1085214838385582,0.0,237.50357055664062,4617.23876953125,0.0,0.0,0.0,-0.1302051842212677,True,nan,False,1.9842829715344124e-05,0.01
gpomdp_reward_only,716,8,31883,0.0,False,609.7459106445312,0.10345529764890671,0.0,609.7459106445312,5231.7197265625,0.0,0.0,0.0,-0.21178166568279266,True,nan,False,2.027827940764837e-05,0.01
gpomdp_reward_only,716,9,35692,0.0,False,229.33197021484375,0.10352281481027603,0.0,229.33197021484375,4407.82275390625,0.0,0.0,0.0,0.8534785509109497,True,nan,False,2.2823929612059146e-05,0.01
gpomdp_reward_only,716,10,39535,0.0,False,286.00067138671875,0.09817463904619217,0.0,286.00067138671875,5445.35888671875,0.0,0.0,0.0,-0.6625564694404602,True,nan,False,1.4602853298129048e-05,0.01
gpomdp_reward_only,716,11,43508,0.0,False,374.6881408691406,0.09575171768665314,0.0,374.6881408691406,4308.1533203125,0.0,0.0,0.0,-0.5779032111167908,True,nan,False,7.337756414926844e-06,0.01
gpomdp_reward_only,716,12,47502,0.0,False,314.28900146484375,0.09577763080596924,0.0,314.28900146484375,4992.38720703125,0.0,0.0,0.0,0.7412689924240112,True,nan,False,9.675808541942388e-06,0.01
gpomdp_reward_only,716,13,51502,0.0,False,232.98837280273438,0.09660051763057709,0.0,232.98837280273438,4567.96484375,0.0,0.0,0.0,0.03297049179673195,True,nan,False,1.2467082342482172e-05,0.01
gpomdp_reward_only,716,14,55502,0.0,False,188.29852294921875,0.08870472759008408,0.0,188.29852294921875,3577.797119140625,0.0,0.0,0.0,-0.7376636266708374,True,nan,False,9.525507266516797e-06,0.01
gpomdp_reward_only,716,15,59502,0.0,False,277.5436706542969,0.0968717560172081,0.0,277.5436706542969,4997.4521484375,0.0,0.0,0.0,0.38290905952453613,True,nan,False,4.2194965317321476e-06,0.01
gpomdp_reward_only,716,16,63445,0.0,False,192.5535125732422,0.09172893315553665,0.0,192.5535125732422,5371.046875,0.0,0.0,0.0,0.24356193840503693,True,nan,False,4.023635028715944e-06,0.01
gpomdp_reward_only,716,17,67441,0.0,False,309.13739013671875,0.08985546976327896,0.0,309.13739013671875,5577.9013671875,0.0,0.0,0.0,0.5407178401947021,True,nan,False,5.040788892074488e-06,0.01
gpomdp_reward_only,716,18,71314,0.0,False,151.4484405517578,0.08946481347084045,0.0,151.4484405517578,4122.1982421875,0.0,0.0,0.0,0.033782221376895905,True,nan,False,4.88016758026788e-06,0.01
gpomdp_reward_only,716,19,75314,0.0,False,378.1524658203125,0.09141584485769272,0.0,378.1524658203125,4362.01123046875,0.0,0.0,0.0,0.5961969494819641,True,nan,False,6.876273346279049e-06,0.01
gpomdp_reward_only,716,20,79314,0.0,False,446.0040588378906,0.09023140370845795,0.0,446.0040588378906,4768.26513671875,0.0,0.0,0.0,-0.3701786696910858,True,nan,False,2.2585400074603967e-06,0.01
gpomdp_reward_only,716,21,83314,0.0,False,157.0479278564453,0.07767758518457413,0.0,157.0479278564453,4625.4580078125,0.0,0.0,0.0,-0.2570558488368988,True,nan,False,1.737810748636548e-06,0.01
gpomdp_reward_only,716,22,87252,0.0,False,356.98870849609375,0.07426833361387253,0.0,356.98870849609375,3697.91748046875,0.0,0.0,0.0,-0.8421526551246643,True,nan,False,1.2779823919117916e-06,0.01
gpomdp_reward_only,716,23,91252,0.0,False,270.3801574707031,0.08419724553823471,0.0,270.3801574707031,3073.29736328125,0.0,0.0,0.0,0.8765385150909424,True,nan,False,4.875403760706831e-07,0.01
gpomdp_reward_only,716,24,95101,0.0,False,409.7457580566406,0.08640532940626144,0.0,409.7457580566406,4681.11474609375,0.0,0.0,0.0,0.3802170753479004,True,nan,False,4.59786406281637e-06,0.01
gpomdp_reward_only,716,25,99101,0.0,False,384.2384338378906,0.07963947206735611,0.0,384.2384338378906,4742.1220703125,0.0,0.0,0.0,-0.6888840198516846,True,nan,False,3.361396011314355e-06,0.01
gpomdp_reward_only,716,26,103101,0.0,False,245.89373779296875,0.0869382917881012,0.0,245.89373779296875,4340.390625,0.0,0.0,0.0,-0.5064108371734619,True,nan,False,5.976764896331588e-06,0.01
gpomdp_reward_only,716,27,107101,0.0,False,282.7071533203125,0.08151811361312866,0.0,282.7071533203125,3515.644775390625,0.0,0.0,0.0,-0.8253336548805237,True,nan,False,1.0048324838862754e-05,0.01
gpomdp_reward_only,716,28,111101,0.0,False,281.9265441894531,0.08129134029150009,0.0,281.9265441894531,3601.2822265625,0.0,0.0,0.0,0.7857343554496765,True,nan,False,4.4748317122866865e-06,0.01
gpomdp_reward_only,716,29,115101,0.0,False,243.34242248535156,0.09011416137218475,0.0,243.34242248535156,4219.0771484375,0.0,0.0,0.0,0.4698408246040344,True,nan,False,9.99919393507298e-07,0.01
gpomdp_reward_only,716,30,119101,0.0,False,312.55841064453125,0.08585066348314285,0.0,312.55841064453125,4519.970703125,0.0,0.0,0.0,-0.22487948834896088,True,nan,False,1.4264187484513968e-06,0.01
