"catalog_schema_version","record_id","stage_order","stage","experiment_id","experiment_title","scientific_role","status","environment","method","comparison","initialization","sample_size","unit_of_analysis","configuration_json","metric","estimate","ci95_low","ci95_high","uncertainty_method","result_scope","source_tex","source_artifact","interpretation","limitations"
"1","R000001","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k2_uniform"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""2""}","minimum_probability","0.5","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000002","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k2_uniform"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""2""}","logdet_identity_error","0","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000003","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k2_uniform"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""2""}","directional_finite_difference_error","0","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000004","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k2_uniform"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""2""}","all_required_checks_passed","1","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000005","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k3_asymmetric"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""3""}","minimum_probability","0.1052","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000006","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k3_asymmetric"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""3""}","logdet_identity_error","0","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000007","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k3_asymmetric"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""3""}","directional_finite_difference_error","5.94e-11","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000008","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k3_asymmetric"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""3""}","all_required_checks_passed","1","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000009","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k10_random_seed23"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""10""}","minimum_probability","0.02278","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000010","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k10_random_seed23"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""10""}","logdet_identity_error","3.55e-15","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000011","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k10_random_seed23"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""10""}","directional_finite_difference_error","6.03e-11","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000012","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k10_random_seed23"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""10""}","all_required_checks_passed","1","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
"1","R000013","1","categorical_identity","step1_exact_identity","Exact categorical Fisher and reduced log-determinant identity","deterministic algebraic verification","complete","categorical softmax, no rewards","exact_action_enumeration","","","","","{""case"":""k100_random_seed23"",""dtype"":""float64"",""seed"":""23 where applicable"",""action_count"":""100""}","minimum_probability","0.0006007","","","none","aggregate","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","The reduced categorical Fisher identity, null direction, Bartlett identity, and barrier derivatives passed the declared checks.","This is an exact categorical identity at a fixed input, not a global neural Fisher determinant."
