method,initialization,damping,target_kl,update,beta,barrier_active,return,q,pi1_good,v1,delta_safe,realized_kl,pi0_a0,pi0_a1,pi0_a2,pi1_a0,pi1_a1,pi1_a2,fisher_eigenvalue_0,fisher_eigenvalue_1,fisher_eigenvalue_2,fisher_eigenvalue_3,mu0,mu1,lambda_min_f_pool,logdet_f_pool,reward_gradient_0,reward_gradient_1,reward_gradient_2,reward_gradient_3,barrier_gradient_0,barrier_gradient_1,barrier_gradient_2,barrier_gradient_3,natural_reward_direction_0,natural_reward_direction_1,natural_reward_direction_2,natural_reward_direction_3,natural_direction_0,natural_direction_1,natural_direction_2,natural_direction_3,reward_gradient_norm,barrier_gradient_norm,total_gradient_norm,euclidean_barrier_to_reward_ratio,natural_barrier_to_reward_ratio,euclidean_cosine,euclidean_cosine_defined,natural_cosine,natural_cosine_defined,valid,invalid_reason,predicted_kl,scale_factor,gradient_norm,natural_direction_norm,quadratic_form,solve_residual,fisher_condition_number,damped_condition_number
exact_pg_reward_only,uniform,0.01,,0,0.0,False,0.29999999999999993,0.3333333333333333,0.3333333333333333,0.39999999999999997,-0.10000000000000003,nan,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.027777777777777776,0.08333333333333333,0.08333333333333333,0.25,0.75,0.25,0.027777777777777776,-9.939626599152001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exact_pg_reward_only,uniform,0.01,,10,0.0,False,0.3052706078664905,0.333356217641061,0.34208296765115387,0.40750614910110283,-0.09249385089889717,1.1432859633555308e-06,0.3388517986733453,0.333356217641061,0.3277919836855937,0.34208296765115387,0.3271159072497449,0.3308011250991013,0.027666047052479003,0.08262503834822446,0.08363300865026976,0.2520650475463042,0.7499871277978318,0.2500128722021682,0.027666047052479003,-9.940376968586328,0.0660567937758878,0.03400343716987792,0.06747590608070274,-0.022587680478425094,-0.011183947583776423,-4.012994897898589e-05,-0.005898579385647331,0.0041936519594438,0.5992564241931672,0.4793610581630315,1.0661536561134337,0.1109202553078218,0.5992564241931672,0.4793610581630315,1.0661536561134337,0.1109202553078218,0.10287339283859188,0.01332149576793815,0.10287339283859188,0.0,0.0,-0.8996296147458919,True,nan,False,,,,,,,,,,
exact_pg_reward_only,uniform,0.01,,20,0.0,False,0.3105891523126476,0.33344555103525664,0.3510586179512298,0.4152192929990528,-0.0847807070009472,1.1446339918440943e-06,0.3442722527162176,0.33344555103525664,0.3222821962485258,0.3510586179512298,0.32080337523911506,0.3281380068096552,0.027537546518517378,0.08188930902405397,0.08391684370777545,0.25408877715137745,0.7499368828548139,0.2500631171451861,0.027537546518517378,-9.94259219418163,0.06529070094458618,0.03480492310756404,0.06836543079008534,-0.022983188938650305,-0.02340239021648328,-0.0002247386668936002,-0.01261605670216572,0.008922945469378088,0.5986050366591131,0.4882120391685301,1.0680431617947093,0.10963824513502278,0.5986050366591131,0.4882120391685301,1.0680431617947093,0.10963824513502278,0.1033262667634057,0.02804471818140994,0.1033262667634057,0.0,0.0,-0.8984056411606565,True,nan,False,,,,,,,,,,
exact_pg_reward_only,uniform,0.01,,30,0.0,False,0.31595279372038443,0.3336156734361103,0.36025723470358556,0.423137545309567,-0.07686245469043301,1.1441618688495429e-06,0.34957495317166115,0.3336156734361103,0.31680937339222853,0.36025723470358556,0.31440155302990713,0.3253412122665074,0.027392835022329108,0.08112772129935365,0.08418428005999716,0.25606729681402357,0.7498412173152276,0.2501587826847724,0.027392835022329108,-9.946266418975847,0.0644296804497708,0.03566862980712411,0.06924434065369697,-0.023367017476117944,-0.03535682988934365,-0.0005877383717045942,-0.01950704086506753,0.013723877340230643,0.5979279432444856,0.49731992676515663,1.0699132280992931,0.1083239843935512,0.5979279432444856,0.49731992676515663,1.0699132280992931,0.1083239843935512,0.10375081249547721,0.04265349116753128,0.10375081249547721,0.0,0.0,-0.8972048237274781,True,nan,False,,,,,,,,,,
exact_pg_reward_only,uniform,0.01,,40,0.0,False,0.32135897130160973,0.3338816692261381,0.369674944876608,0.43125828158916424,-0.06874171841083576,1.1420556810847631e-06,0.3547394727540474,0.3338816692261381,0.3113788580198144,0.369674944876608,0.307916683562781,0.32240837156061103,0.027232559439199874,0.08034185227884294,0.08443482947235788,0.2579970647459043,0.7496916878542591,0.2503083121457409,0.027232559439199874,-9.951388940281761,0.06347213960820476,0.03659689840704793,0.07011229130361353,-0.023738662660619823,-0.04699890385701422,-0.001162747167366676,-0.02657344396306828,0.018595055282282575,0.597230073458782,0.5066883597898706,1.0717777177681131,0.10697968963049465,0.597230073458782,0.5066883597898706,1.0717777177681131,0.10697968963049465,0.10415038634693917,0.05711543530207539,0.10415038634693917,0.0,0.0,-0.8960470542094655,True,nan,False,,,,,,,,,,
exact_pg_reward_only,uniform,0.01,,50,0.0,False,0.3268054858723298,0.3342593571217912,0.3793070440103024,0.4395781264378329,-0.060421873562167105,1.1385614838968456e-06,0.35974476784883674,0.3342593571217912,0.3059958750293721,0.3793070440103024,0.3013554121376525,0.3193375438520451,0.027057446586048167,0.0795332608853571,0.08466807914383452,0.25987489595862334,0.7494794731341877,0.2505205268658124,0.027057446586048167,-9.957944541912891,0.062416778048094014,0.03759203188504739,0.0709691016973776,-0.024097712921504328,-0.05827844875699444,-0.0019849025933894723,-0.03381774536842245,0.023535538117998057,0.5965166218750405,0.5163208763193916,1.0736513975633621,0.10560776541262365,0.5965166218750405,0.5163208763193916,1.0736513975633621,0.10560776541262365,0.10452907828413782,0.07139943195946358,0.10452907828413782,0.0,0.0,-0.894955599698522,True,nan,False,,,,,,,,,,
exact_pg_reward_only,uniform,0.01,,60,0.0,False,0.3322905854140931,0.33476528126644894,0.38914799570488195,0.44809294717622533,-0.05190705282377467,1.1339879345978961e-06,0.364569247838264,0.33476528126644894,0.3006654708952871,0.38914799570488195,0.29472475735671694,0.31612724693840105,0.026868293789122144,0.07870346779943413,0.0848836948916945,0.2616979536870835,0.7491953934036869,0.2508046065963131,0.026868293789122144,-9.965913961744553,0.06126258148785928,0.038656295559151656,0.07181476146810259,-0.024443852668263977,-0.06914370505239355,-0.003090784043084046,-0.04124308849364073,0.02854490088035659,0.5957930251592858,0.5262209444052981,1.0755499101517991,0.10421079080438683,0.5957930251592858,0.5262209444052981,1.0755499101517991,0.10421079080438683,0.10489172977361635,0.08547636286797092,0.10489172977361635,0.0,0.0,-0.8939573289557975,True,nan,False,,,,,,,,,,
exact_pg_reward_only,uniform,0.01,,70,0.0,False,0.3378130525448855,0.3354167044250086,0.39919143859420014,0.4567978542497995,-0.04320214575020048,1.1287082700716728e-06,0.3691908433680047,0.3354167044250086,0.29539245220698673,0.39919143859420014,0.2880320782779968,0.31277648312780315,0.02666595827735621,0.0778539349055738,0.08508142195603281,0.26346372410570534,0.7488299320252781,0.25117006797472197,0.02666595827735621,-9.975274500730489,0.06000881029665798,0.03979191828685789,0.07264943547909501,-0.024776864762587014,-0.07954153674916548,-0.004518327392771484,-0.048853377938694695,0.033623296908061956,0.5950649363902266,0.536391997831186,1.0774897425424765,0.10279150246369151,0.5950649363902266,0.536391997831186,1.0774897425424765,0.10279150246369151,0.1052439431846934,0.0993199374840507,0.1052439431846934,0.0,0.0,-0.8930828669858574,True,nan,False,,,,,,,,,,
exact_pg_reward_only,uniform,0.01,,80,0.0,False,0.3433722930304567,0.33623160403308444,0.409430200684454,0.4656872083432323,-0.034312791656767705,1.1231616415610397e-06,0.3735870719830451,0.33623160403308444,0.2901813239838705,0.409430200684454,0.2812850382938915,0.3092847610216545,0.026451345593383,0.07698604448476529,0.08526108310808418,0.26516997302945877,0.7483732587836925,0.2516267412163075,0.026451345593383,-9.986000777975448,0.05865498345779564,0.041001093788572904,0.07347346526620507,-0.025096631216947354,-0.08941766377940591,-0.006306732465317387,-0.05665337537674573,0.03877151576735339,0.5943381966151292,0.5468374762788172,1.0794881916475392,0.10135277421415444,0.5943381966151292,0.5468374762788172,1.0794881916475392,0.10135277421415444,0.1055920819614678,0.11290761199597023,0.1055920819614678,0.0,0.0,-0.8923666386252799,True,nan,False,,,,,,,,,,
exact_pg_reward_only,uniform,0.01,,90,0.0,False,0.34896842449589893,0.3372286716501379,0.41985632074317125,0.47475463401078993,-0.025245365989210067,1.1178538313591011e-06,0.3777350998173857,0.3372286716501379,0.2850362285324763,0.41985632074317125,0.27449156633809346,0.3056521129187353,0.02622539722728435,0.07610107840895361,0.0854225737789921,0.2668146835487215,0.7478152549376628,0.2521847450623373,0.02622539722728435,-9.998065635007407,0.05720085882550342,0.04228598133798328,0.07428736707085316,-0.025403132023970536,-0.09871690483446448,-0.008496363529818866,-0.06464879237925747,0.04399103583009643,0.5936188034643266,0.5575608690108208,1.081563327382994,0.09989759294734542,0.5936188034643266,0.5575608690108208,1.081563327382994,0.09989759294734542,0.10594326071552829,0.12622160307502325,0.10594326071552829,0.0,0.0,-0.8918467515462408,True,nan,False,,,,,,,,,,
