run_label,method,seed,update,environment_steps,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,reward_regularizer_cosine,cosine_defined,beta
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,0,0,299.7853698730469,0.029474519193172455,15.478251457214355,-0.16159352660179138,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,1,4000,344.90472412109375,0.032396942377090454,16.978412628173828,-0.47727319598197937,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,2,8000,318.673828125,0.02944115363061428,15.462812423706055,-0.3501233458518982,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,3,12000,176.318359375,0.030231470242142677,15.872807502746582,0.13082146644592285,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,4,16000,130.85646057128906,0.030644642189145088,16.082075119018555,0.05002545192837715,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,5,20000,290.9153137207031,0.032516807317733765,17.049381256103516,-0.7959914803504944,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,6,24000,337.2297668457031,0.03200686350464821,16.79022789001465,-0.616245448589325,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,7,28000,196.54122924804688,0.031096825376152992,16.325777053833008,-0.1950879544019699,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,8,32000,146.43402099609375,0.031030816957354546,16.29157257080078,0.2883446216583252,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,9,36000,284.27069091796875,0.031436022371053696,16.497140884399414,0.3454136252403259,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,10,40000,186.29412841796875,0.030515097081661224,16.031103134155273,0.13579495251178741,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,11,43915,371.60955810546875,0.036388326436281204,19.036170959472656,0.7768739461898804,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,12,47915,185.1497344970703,0.031166458502411842,16.345144271850586,0.17888888716697693,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,13,51915,233.9961395263672,0.0353563018143177,18.511260986328125,-0.32675859332084656,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,14,55915,226.88658142089844,0.03529823198914528,18.475709915161133,0.5762212872505188,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,15,59915,213.02322387695312,0.032746538519859314,17.157026290893555,-0.8277979493141174,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,16,63915,154.41099548339844,0.03389102220535278,17.740169525146484,-0.43657416105270386,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,17,67915,188.26368713378906,0.03666061535477638,19.170713424682617,-0.38398316502571106,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,18,71915,175.8551483154297,0.030764248222112656,16.14087677001953,0.22347837686538696,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,19,75915,434.27728271484375,0.02930433489382267,15.408397674560547,0.715247631072998,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,20,79915,321.62066650390625,0.032984837889671326,17.276567459106445,0.17264343798160553,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,21,83915,161.90432739257812,0.027740782126784325,14.591503143310547,0.29766058921813965,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,22,87835,245.93435668945312,0.03395724669098854,17.77478790283203,0.34759560227394104,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,23,91835,167.134033203125,0.0345049612224102,18.068862915039062,0.26395106315612793,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,24,95835,383.71099853515625,0.03594960644841194,18.797590255737305,-0.5531308650970459,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,25,99835,203.72999572753906,0.029190702363848686,15.336770057678223,-0.18488678336143494,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,26,103835,296.33880615234375,0.0345502607524395,18.077930450439453,0.15856540203094482,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,27,107835,174.48902893066406,0.032049160450696945,16.798919677734375,-0.5428366661071777,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,28,111835,259.5679016113281,0.03294390067458153,17.265052795410156,0.6743804216384888,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,29,115835,304.1659851074219,0.03344575688242912,17.521034240722656,0.22589147090911865,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,301,30,119835,86.92383575439453,0.024660971015691757,13.029239654541016,0.4119066298007965,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,0,0,234.13868713378906,0.3272755742073059,179.1491241455078,-0.2541124224662781,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,1,4000,208.62255859375,0.3178122937679291,173.73106384277344,-0.44907084107398987,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,2,8000,261.25421142578125,0.31995198130607605,174.82325744628906,-0.7257601022720337,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,3,12000,340.59039306640625,0.32214686274528503,176.6060333251953,0.33816152811050415,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,4,16000,489.25286865234375,0.3192118704319,174.62713623046875,0.8848409056663513,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,5,20000,280.272216796875,0.3137781322002411,171.31866455078125,0.08743886649608612,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,6,24000,138.39657592773438,0.3157362937927246,172.8995819091797,-0.508180558681488,True,0.0
gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,7,28000,434.85308837890625,0.31217285990715027,170.5791778564453,-0.6674301028251648,True,0.0
